INDEX,YEAR,MN,DT,MAX,MIN,RF
42137,1975,12,24,23.0,1.0,
42137,1975,12,25,23.0,1.0,
42137,1975,12,26,23.0,3.0,
42137,1975,12,27,24.5,7.5,
42137,1975,12,28,24.0,3.0,
42137,1975,12,29,24.0,4.0,
42137,1975,12,30,22.0,4.0,
42137,1975,12,31,22.0,4.0,
42137,1976,1,1,,,
42137,1976,1,2,,,
42137,1976,1,3,,,
42137,1976,1,4,,,
42137,1976,1,5,,,
42137,1976,1,6,,,
42137,1976,1,7,,,
42137,1976,1,8,,,
42137,1976,1,9,,,
42137,1976,1,10,,,
42137,1976,1,11,,,
42137,1976,1,12,,,
42137,1976,1,13,,,
42137,1976,1,14,,,
42137,1976,1,15,,,
42137,1976,1,16,,,
42137,1976,1,17,,,
42137,1976,1,18,,,
42137,1976,1,19,,,
42137,1976,1,20,,,
42137,1976,1,21,,,
42137,1976,1,22,,,
42137,1976,1,23,,,
42137,1976,1,24,,,
42137,1976,1,25,,,
42137,1976,1,26,,,
42137,1976,1,27,,,
42137,1976,1,28,,,
42137,1976,1,29,,,
42137,1976,1,30,,,
42137,1976,1,31,,,
42137,1976,2,1,,,
42137,1976,2,2,,,
42137,1976,2,3,,,
42137,1976,2,4,,,
42137,1976,2,5,,,
42137,1976,2,6,,,
42137,1976,2,7,,,
42137,1976,2,8,,,
42137,1976,2,9,,,
42137,1976,2,10,,,
42137,1976,2,11,,,
42137,1976,2,12,,,
42137,1976,2,13,,,
42137,1976,2,14,,,
42137,1976,2,15,,,
42137,1976,2,16,,,
42137,1976,2,17,,,
42137,1976,2,18,,,
42137,1976,2,19,,,
42137,1976,2,20,,,
42137,1976,2,21,,,
42137,1976,2,22,,,
42137,1976,2,23,,,
42137,1976,2,24,,,
42137,1976,2,25,,,
42137,1976,2,26,,,
42137,1976,2,27,,,
42137,1976,2,28,,,
42137,1976,3,1,,,0.0
42137,1976,3,2,,,0.0
42137,1976,3,3,,,0.0
42137,1976,3,4,,,0.0
42137,1976,3,5,,,0.0
42137,1976,3,6,,,0.0
42137,1976,3,7,,,0.0
42137,1976,3,8,,,0.0
42137,1976,3,9,,,0.0
42137,1976,3,10,,,0.0
42137,1976,3,11,,,0.0
42137,1976,3,12,,,0.0
42137,1976,3,13,,,0.0
42137,1976,3,14,,,0.0
42137,1976,3,15,,,0.0
42137,1976,3,16,,,0.0
42137,1976,3,17,,,35.0
42137,1976,3,18,,,0.0
42137,1976,3,19,,,0.0
42137,1976,3,20,,,0.0
42137,1976,3,21,,,0.0
42137,1976,3,22,,,0.0
42137,1976,3,23,,,0.0
42137,1976,3,24,,,0.0
42137,1976,3,25,,,0.0
42137,1976,3,26,,,0.0
42137,1976,3,27,,,0.0
42137,1976,3,28,,,0.0
42137,1976,3,29,,,0.0
42137,1976,3,30,,,0.0
42137,1976,3,31,,,0.0
42137,1976,4,1,,,0.0
42137,1976,4,2,,,0.0
42137,1976,4,3,,,0.0
42137,1976,4,4,,,0.0
42137,1976,4,5,,,0.0
42137,1976,4,6,,,0.0
42137,1976,4,7,,,0.0
42137,1976,4,8,,,0.0
42137,1976,4,9,,,0.0
42137,1976,4,10,,,0.0
42137,1976,4,11,,,0.0
42137,1976,4,12,,,0.0
42137,1976,4,13,,,0.0
42137,1976,4,14,,,0.0
42137,1976,4,15,,,0.0
42137,1976,4,16,,,0.0
42137,1976,4,17,,,0.0
42137,1976,4,18,,,0.0
42137,1976,4,19,,,0.0
42137,1976,4,20,,,0.0
42137,1976,4,21,,,0.0
42137,1976,4,22,,,0.0
42137,1976,4,23,,,0.0
42137,1976,4,24,,,0.0
42137,1976,4,25,,,0.0
42137,1976,4,26,,,
42137,1976,4,27,,,0.0
42137,1976,4,28,,,0.0
42137,1976,4,29,,,0.0
42137,1976,4,30,,,0.0
42137,1976,5,1,,,0.0
42137,1976,5,2,,,0.0
42137,1976,5,3,,,0.0
42137,1976,5,4,,,0.0
42137,1976,5,5,,,0.0
42137,1976,5,6,,,0.0
42137,1976,5,7,,,0.0
42137,1976,5,8,,,0.0
42137,1976,5,9,,,0.0
42137,1976,5,10,,,0.0
42137,1976,5,11,,,0.0
42137,1976,5,12,,,0.0
42137,1976,5,13,,,0.0
42137,1976,5,14,,,0.0
42137,1976,5,15,,,0.0
42137,1976,5,16,,,0.0
42137,1976,5,17,,,0.0
42137,1976,5,18,,,0.0
42137,1976,5,19,,,0.0
42137,1976,5,20,,,0.0
42137,1976,5,21,,,0.0
42137,1976,5,22,,,0.0
42137,1976,5,23,,,0.0
42137,1976,5,24,,,0.0
42137,1976,5,25,,,0.0
42137,1976,5,26,,,0.0
42137,1976,5,27,,,0.0
42137,1976,5,28,,,0.0
42137,1976,5,29,,,0.0
42137,1976,5,30,,,0.0
42137,1976,5,31,,,0.0
42137,1976,6,1,,,0.0
42137,1976,6,2,,,0.0
42137,1976,6,3,,,0.0
42137,1976,6,4,,,0.0
42137,1976,6,5,,,2.0
42137,1976,6,6,,,8.0
42137,1976,6,7,,,0.0
42137,1976,6,8,,,0.0
42137,1976,6,9,,,0.0
42137,1976,6,10,,,0.0
42137,1976,6,11,,,0.0
42137,1976,6,12,,,0.0
42137,1976,6,13,,,12.0
42137,1976,6,14,,,23.0
42137,1976,6,15,,,
42137,1976,6,16,,,0.0
42137,1976,6,17,,,
42137,1976,6,18,,,22.0
42137,1976,6,19,,,0.0
42137,1976,6,20,,,0.0
42137,1976,6,21,,,0.0
42137,1976,6,22,,,0.0
42137,1976,6,23,,,0.0
42137,1976,6,24,,,0.0
42137,1976,6,25,,,0.0
42137,1976,6,26,,,0.0
42137,1976,6,27,,,0.0
42137,1976,6,28,,,0.0
42137,1976,6,29,,,0.0
42137,1976,6,30,,,0.0
42137,1976,7,1,41.0,29.0,0.0
42137,1976,7,2,40.0,30.0,0.0
42137,1976,7,3,40.0,25.0,0.0
42137,1976,7,4,40.0,24.5,0.0
42137,1976,7,5,37.0,24.5,0.0
42137,1976,7,6,36.0,26.5,0.0
42137,1976,7,7,39.0,28.5,0.0
42137,1976,7,8,40.0,28.5,0.0
42137,1976,7,9,39.5,26.5,0.0
42137,1976,7,10,36.0,25.5,0.0
42137,1976,7,11,35.0,23.5,27.8
42137,1976,7,12,31.0,24.5,0.0
42137,1976,7,13,33.0,25.5,0.0
42137,1976,7,14,33.0,24.5,0.0
42137,1976,7,15,30.0,,8.0
42137,1976,7,16,29.0,,3.0
42137,1976,7,17,30.8,,19.8
42137,1976,7,18,31.0,,0.0
42137,1976,7,19,32.0,,0.0
42137,1976,7,20,33.0,,0.0
42137,1976,7,21,33.0,,0.0
42137,1976,7,22,36.0,,0.0
42137,1976,7,24,34.0,,0.0
42137,1976,7,25,37.0,,0.0
42137,1976,7,26,37.5,,33.1
42137,1976,7,27,28.5,23.1,4.5
42137,1976,7,28,32.4,25.0,0.0
42137,1976,7,29,33.5,25.0,5.7
42137,1976,7,30,30.5,25.5,0.0
42137,1976,7,31,33.0,24.0,78.0
42137,1976,8,1,32.0,24.5,15.0
42137,1976,8,2,32.0,25.0,4.0
42137,1976,8,3,34.0,27.0,0.0
42137,1976,8,4,35.0,24.0,0.0
42137,1976,8,5,35.0,23.5,0.0
42137,1976,8,6,31.0,24.0,6.0
42137,1976,8,7,29.5,24.0,14.0
42137,1976,8,8,27.0,24.0,6.0
42137,1976,8,9,31.0,24.0,8.0
42137,1976,8,10,28.5,25.0,0.0
42137,1976,8,11,32.0,25.0,0.0
42137,1976,8,12,32.5,24.5,40.0
42137,1976,8,13,30.5,23.5,0.0
42137,1976,8,14,32.5,25.0,0.0
42137,1976,8,15,32.5,25.0,0.0
42137,1976,8,16,37.0,23.5,0.0
42137,1976,8,17,32.0,24.5,15.0
42137,1976,8,18,31.0,24.5,0.0
